Benchmark	ID	Tool A	Tool B	Tool C	Patch A	Patch B	Patch C	Type	Message	Path	Expression	SCORE (Patch A) Consolidated	SCORE (Patch B) Consolidated	SCORE (Patch C) Consolidated	SCORE (Patch A)	SCORE (Patch B)	SCORE (Patch C)	Comment	New or changed errors patch A	New or change errors patch B	New or changed errors patch C	SCORE (Patch A)_Manu	SCORE (Patch B)_Manu	SCORE (Patch C)_Manu	Comment_Manu	SCORE (Patch A)_Martin	SCORE (Patch B)_Martin	SCORE (Patch C)_Martin	Comment_Martin	Consolidation Comment (Optional)	SCORE (Patch A)_Michael	SCORE (Patch B)_Michael	SCORE (Patch C)_Michael	Comment_Michael	2	File_Type
litiengine	76	hash_advanced	hash_agent_baseline	hash_basic	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression buffer is @Nullable	litiengine/src/de/gurkenlabs/litiengine/graphics/CreatureShadowImageEffect.java:70	final Graphics2D graphics = buffer.createGraphics();	3	3	1					1	0	0	1	3	3	Casting seems like the best fix; `getCompatibleImage` only returns null if either width or height is 0, which seems very unlikely in this case and probably unintentional.  Just returning and masking the issue is bad, and Patch B has a bunch of unrelated changes.						3	3	1	Similar to litiengine-78. B makes too many not-asked-for changes.	MP: As you say, the width or height might be 0 (even if it's unlikely). In this case, the apply() method has nothing to do (as there are no pixels to modify) and hence, returning early (as done by C) seems fine to me.  MS: fair enough, agreed.	consolidation
libgdx	363	hash_advanced	hash_agent_baseline	hash_basic	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression target is @Nullable	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/utils/DragAndDrop.java:170	target.actor.stageToLocalCoordinates(tmpVector.set(stageX, stageY));	3	2	3								3	2	3	I think if `isValidTarget` is true, `target` must be non-null?  If so, an even better fix than Patch B would be a cast with a comment, or at least a comment indicating the null check here is unnecessary.  Patch A and Patch C add unrelated changes and sometimes do null checks on `actor` which I think cannot be null.						3	1	2	Check done by B is similar to what's done a few lines above. A is similar, but also edits another, not-asked-for location. C checks more than necessary to fix the warning, but otherwise okay.	MP: Agreed	consolidation
libgdx	41	hash_advanced	hash_basic	hash_agent_baseline	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression sprite is @Nullable	libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/ParticleEmitter.java:441	float spriteWidth = sprite.getWidth();	1	3	3								1	3	3	`sprite` cannot be null here; NullAway only warns since it cannot prove the switch is exhaustive, but it is.  So casting is good, and fixes that imply `sprite` might be null are bad.						1	3	2	sprite seems to be non-null, so casting is fine. B skips behavior. C is okay, but not very elegant.	MP: Agreed	consolidation
litiengine	110	hash_agent_baseline	hash_basic	hash_advanced	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression this.currentText is @Nullable	litiengine/src/de/gurkenlabs/litiengine/gui/SpeechBubble.java:271	while (measurer.getPosition() < this.currentText.length()) {	3	3	1					0	1	0	3	3	1	`this.currentText` cannot be null; we're in a private method called from one place where `this.currentText` is guaranteed to be non-null.  (`@RequiresNonNull` could have been helpful here.)  casts are fine, though I would have preferred casting once and assigning to a local.  Patches A and B, which imply the field might be null, are bad.						3	1	3	Skipping when currentText is null is consistent with other locations handling this case, so B looks best. A has a probably unintended side-effect. C could be okay, if createBubbleImage should be called only when the text is non-null (but I don't see many signs for that assumption).	MP: I had missed that there's only one call site with a guaranteed non-null value for currentText.	consolidation
libgdx	331	hash_basic	hash_advanced	hash_agent_baseline	Github	Github	Github	PASS_NULLABLE	passing @Nullable parameter 'c.actor' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Table.java:1205	float maxHeight = c.maxHeight.get(c.actor);	3	3	3								3	3	3	I think the `get` method can in fact accept null as an argument, so all these patches are kind of off.  See here: https://github.com/Pascal-Joos/libgdx/blob/0b226f2ccfee6a4a28ec85f5bc6f80482aa921ae/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Value.java#L36-L39						3	1	3	Similar to libgdx-319	MP: Not sure why I gave 1 to B. I agree that it's wrong, as c.actor may be null.	consolidation
libgdx	128	hash_advanced	hash_basic	hash_agent_baseline	Github	Github	Github	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields positionChannel (line 36), previousPositionChannel (line 36), rotationChannel (line 36) are initialized along all control-flow paths (remember to check for exceptions or early returns).	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/particles/influencers/DynamicsInfluencer.java:57	@Initializer	2	3	3					0	0	9	2	3	3	The fields are conditionally null depending on the value in boolean fields.  Patch B just breaks this property, and Patch C will still leave a lot of warnings.  Patch A I think fixes the warnings, but it also adds both redundant null checks and casts; just the casts would be better.						3	3	1	"A adds many casts, which is very ugly. In B, the first of the ""else"" branches does exactly the same as the ""if"" branch. C maybe the best way to go here, even though it'll require changes in caller code"	"MP: Following what we discussed by mail, i.e., that we focus on meaningfully addressing one error at a time, even if it causes follow-up errors, C should be given a ""1"", right?  PJ: I do not think this is one of these cases. Here the newly introduced errors (due to making the fields @Nullable) are actual new issues, whereas in the cases we discussed the new errors are all essentially false positives, as casts to nonnull will throw runtime exceptions before the line of newly triggered errors is reached. MS: agreed with PJ, this is different from the cases in the emails, I think just adding `@Nullable` annotations here is not a good fix. MP: Could we agree that adding the annotations is a good starting point? After all, you also say that the fields may conditionally be null, which Nullable expresses. If we doa gree in that, then C could get a 2, as other changes will be needed but it goes in the right direction. MS: Even NullAway Annotator could have added a `@Nullable` annotation here.  It did not because it saw that it leads to many new warnings elsewhere.  I still think that just adding `@Nullable` is not a good fix and would give a 3.  We can either go with 3 or unresolved for this one.  I've tentatively marked it as a 3."	consolidation
glide	17	hash_agent_baseline	hash_basic	hash_advanced	Github	Github	Github	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	glide/library/src/main/java/com/bumptech/glide/load/engine/DecodeHelper.java:85	transcodeClass = null;	3	3	1					3	0	0	3	3	1	Field should be `@Nullable` and casts are probably need in light of the lifecycle.  Only Patch C gets it right.						2	3	1	Similar to glide-16. B is stupid. A is reasonable, but will require handling follow-up errors. C looks best, asa it handles follow-up errors.	MP: Similar to the above. Patch A makes the field Nullable, so it correctly addresses the error we focus on here. PJ: Same rational from my side here. Not the same as in our email discussion MS: agreed with PJ MP: Okay, let's give a 3 to A then,	consolidation
libgdx	196	hash_advanced	hash_agent_baseline	hash_basic	Github	Github	Github	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	libgdx/gdx/src/com/badlogic/gdx/maps/tiled/TiledMapTileSets.java:52	return null;	3	3	3								2	3	3	Makes sense to make the function return `@Nullable`.  At the new warnings at call sites, hard to tell but I think probably invariants will ensure the calls don't return null.  So probably casts are best.  Patch C clearly wrong, Patch B misleading with the null checks.  Patch A ok but adds redundant null checks.						3	3	3	C seems wrong (and messes up the comment). Adding a nullable annotation (as done by A and B) seems correct. However, A adds null-check and casts, which is unnecessary. B just skips behavior, which may not be intended either.	"MP: Patch A could be either 2 or 3. I tend to stick to my 3, as having a null check and a cast so close to each other is clearly redundant. MS: this is discussed in email thread with new subject ""Shortcoming with null checks and castToNonNull"".  We should decide if we want to consistently score these cases as 2 or 3. MP: For me, the decision depends also on how close the two redundant checks are. If it's very close, as in patch A, then I'd give a 3, whereas for two far-away checks I find it more acceptable. MS: Ok, we can go with 3, agreed."	consolidation
libgdx	415	hash_advanced	hash_agent_baseline	hash_basic	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression p is @Nullable	libgdx/gdx/src/com/badlogic/gdx/utils/PooledLinkedList.java:160	p.next = null;	1	3	3								1	3	3	cast is the right move here; p can't be null (for subtle reasons, we know curr is not the head and curr is the tail, so tail must have a prev).  adding null checks is misleading.						1	2	3	It seems that p will never be null, so casting (as done in A) is fine. C adds many checks, which seem unnecessary but reduce readability. B likely does no harm, but the check isn't required.	MP: Agreed	consolidation
zuul	10	hash_advanced	hash_basic	hash_agent_baseline	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression zuulFilters is @Nullable	zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/BaseZuulChannelInitializer.java:374	final ZuulFilter<T, T>[] filters = new ZuulFilter[zuulFilters.size() + 2];	2	1	1								2	1	1	Looks like null checks are in fact needed here.  Patch B and C add the null checks.  Patch A I say is slightly worse since it allocates a mostly-unused TreeSet.						1	1	2	B and C are equivalent and make sense to me. A achieves the same, but creates an object that isn't required.	MP: My earlier comment aligns perfectly with Manu's scores, i.e., these are the scores I actually meant.	consolidation
libgdx	309	hash_advanced	hash_agent_baseline	hash_basic	Github	Github	Github	PASS_NULLABLE	passing @Nullable parameter 'a' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Table.java:901	c.computedPadRight = c.padRight.get(a) + ((column + colspan) == columns ? 0 : spaceRight);	3	3	3								2	3	3	My guess is some invariant means `a` can't be null.  casts are a good solution, but Patch A would be better if it stored the casted value in a local.  Patches B and C are less good since they will hide an unexpected null value.						3	2	3	Similar to libgdx-319. C just skips behavior, A uses a cast that may fail. B could be okay, but hard to tell for me what the intent here is.	"MP: Table.add() shows that the actor maybe null, so A isn't safe. Maybe we just should go for all ""3"" here? MS: I'm ok with all 3s; filling it in."	consolidation
gson	2	hash_basic	hash_advanced	hash_agent_baseline	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression longAdapter.read(in) is @Nullable	gson/gson/src/main/java/com/google/gson/Gson.java:455	long value = longAdapter.read(in).longValue();	2	3	2					0	1	0	2	2	2	Because of the nullSafe wrapper no null check is needed here.  A cast or local suppression would be best.  Patch B is weird; it doesn't actually change anything other than adding a local.						2	3	2	Not fully sure whether A or C is closest to the intended behavior, but the code needs to handle null in one way or another.	"PJ: Patch B should be a 3. It doesn't fix the error, but just moves it (this is recognized as a ""new"" error, as there is no simple way to know it's still the target error) MP: Manu also notes that B is wrong, so let's give it a 3."	consolidation
libgdx	322	hash_advanced	hash_agent_baseline	hash_basic	Github	Github	Github	PASS_NULLABLE	passing @Nullable parameter 'a' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Table.java:1091	float prefWidth = c.prefWidth.get(a), prefHeight = c.prefHeight.get(a);	3	3	3								2	3	3	Similar to row 23. (row 18: libgdx 309 now [Pascal])						3	2	2	"Also similar to ligdx-319. A is wrong because the cast may fail. B and C are equivalent and may be the intended behavior, but not 100% sure. I could also give a low-confidence ""1"" to both them (and similar for the two similar errors above)."	"MP: Similar to a few other errors. The actor may be null, as shown by Table.add(). Maybe let's gor for all ""3""?  MS: yes, ok, agreed on all 3s."	consolidation
libgdx	355	hash_basic	hash_agent_baseline	hash_advanced	Github	Github	Github	METHOD_NO_INIT	initializer method does not guarantee @NonNull field columnSizes (line 47) is initialized along all control-flow paths (remember to check for exceptions or early returns).	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/VerticalGroup.java:52	public VerticalGroup() {	3	3	2					0	0	1	3	3	2	clearly should be initialized lazily, and the code does so.  we need casts.  and getColumns does look risky in the case where the lazy init hasn't happened yet.  Patch C looks good, except that it does an unnecessary null check?						1	2	3	columnSizes being null doesn't convey any special state, as shown by line 70, so initializing it to an empty collection makes sense (as done in A). B is clone, but stupidly duplicates the line. C seems overly complex	MP: Agreed	consolidation
libgdx	288	hash_agent_baseline	hash_advanced	hash_basic	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression event is @Nullable	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/SelectBox.java:544	event.stop();	3	2	3												3	2	3	I think this warning is a false positive, and that the @Nullable annotation on the parameter is probably incorrect. My reasoning is based on reading the source code for the InputListener class (https://github.com/libgdx/libgdx/blob/master/gdx/src/com/badlogic/gdx/scenes/scene2d/InputListener.java), whose #handle method explicitly does a null check (via instanceof) before calling keyDown() or any of the other registerable listeners. Patch B correctly suppresses the warning, but the better fix would be to remove the @Nullable annotation. Patches A and C are totally wrong.	MP: I think Martin is right here. My general assumption was that the annotations must be correct, which isn't true, actually.	2	3	1	B contradicts the nullable annotation. Not fully sure whether A or C is better, but C seems most aligned with the intent.		consolidation
litiengine	4	hash_advanced	hash_agent_baseline	hash_basic	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression Game.info() is @Nullable	litiengine/src/de/gurkenlabs/litiengine/GameWindow.java:73	this.hostControl.setTitle(Game.info().getTitle());	1	1	1												2	1	2	Game.info() can legitimately be nullable (see, e.g., line 592 in https://github.com/Pascal-Joos/litiengine/blob/3192bbb2a2fa8890f9f5632927793cb1ea54da7a/src/de/gurkenlabs/litiengine/Game.java), so all of the patches are on the right track. I prefer patch B because it handles the failure case more gracefully by providing a default title.	"MP: Whether setting some title or just having no title is better ultimately is a matter of taste, I guess. How about setting all three patches to ""1"" (because they all could be considered correct)?  MK: I'm ok with that decision."	1	2	1	A and C avoid setting a title if there is none. B just makes up a title, which could be fine, but I'm not sure about the string value.		consolidation
litiengine	130	hash_basic	hash_advanced	hash_agent_baseline	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression x.getImage() is @Nullable	litiengine/src/de/gurkenlabs/litiengine/resources/ResourceBundle.java:203	x.getName().equals(sprite.getName()) && x.getImage().equals(sprite.getImage()))) {	3	3	1												2	3	1	Patch C correctly uses null-safe equality; Patch A is unnecessarily verbose; Patch B also changes the semantics by adding the check that the sprite's image is non-empty.	MK: I was between 2 and 3 on patch A anyway, and I'm happy to cede to Michael's judgement here.	3	3	1	A makes changes that go beyond the reported error and is pretty complex. B calls isEmpty(), which wasn't called before. C is elegant, concise, and matches my understanding of the intended behavior.		consolidation
eureka	13	hash_agent_baseline	hash_advanced	hash_basic	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression overriddenInstanceStatus is @Nullable	eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AbstractInstanceRegistry.java:405	overriddenInstanceStatus.name(),	1	3	2												1	2	2	Patch A adds a logging statement, mirroring the logic for UNKNOWN statuses. The others also mirror that logic but either omit the logging (B) or use the same error message as UNKNOWN (C), which is wrong because that error message specifically mentions that the status is UNKNOWN (which isn't true if it's null instead).	MK: I don't think patch C should be higher than a 2, because of the incorrect logging message. I'd be happy to agree on 1 3 2, though. MP: Agreed. I had missed the incorrect logging message.	2	3	1	C matches my understanding of intended behavor. A is similar, but unnecessarily adds duplicate code. B skips the logging, which likely isn't intended.		consolidation
litiengine	85	hash_agent_baseline	hash_basic	hash_advanced	Github	Github	Github	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	litiengine/src/de/gurkenlabs/litiengine/graphics/animation/Animation.java:180	return this.spritesheet;	2	3	2					3	0	0					2	3	2	Both patches A and C correctly make getSpritesheet @Nullable (the null check on line 172 makes it clear that it should be); Patch B is a 3 because it doesn't. Both patch A and C are scored 2, though, because both include extraneous changes that aren't related to the warning. Patch A is _worse_ (the extraneous changes trigger more warnings), but it's on the right track.	"MP: I see the check in line 172, but it doesn't imply that spritesheet may still be null after trying to assign it in line 177. At the same time, the wording of the comment (""try to find an updated one"") suggests that a null value may still be possible, so perhaps annotating the method as nullable is correct."	3	1	3	A moves the problem to the callers, without editing them; it also makes another, unrelated edit. C is similar, but edits at least one call site; however, it also applies another, unrelated edit. B seems the best, but I'm not 100% if raising a runtime error is intended.		consolidation
libgdx	319	hash_basic	hash_agent_baseline	hash_advanced	Github	Github	Github	PASS_NULLABLE	passing @Nullable parameter 'a' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Table.java:986	prefWidth = c.prefWidth.get(a),	3	3	3												3	3	2	This is a false positive: actors in cells are always non-null. addActor() is defined in Group.java (one level up in the package hierarchy) and clearly only takes non-null arguments; the only place that addActor is called is guarded by a null check. I don't think there's a way for a null actor to end up in a cell, but to be honest the design of this class leaves something to be desired. Patches A and B are therefore wrong. Patch C is on the right track, but the ridiculously verbose suppression scheme isn't right: instead, the actor should be moved into a local variable with the right type, and suppressed just once.	MK: Maybe these should all be 3s? But, the problem here is that this class is just an utter disaster from a design perspective, so I'm not sure any of us know what the spec is supposed to be.  MP: Let's do all 3s.	3	2	3	Table.add() shows that the actor maybe null, so C seems wrong. A just skips behavior, which also seems wrong. B could be correct, but it's hard to fully understand the intent here.		consolidation
glide	10	hash_advanced	hash_basic	hash_agent_baseline	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression loadData is @Nullable	glide/library/src/main/java/com/bumptech/glide/load/engine/DataCacheGenerator.java:102	cb.onDataFetcherReady(sourceKey, data, loadData.fetcher, DataSource.DATA_DISK_CACHE, sourceKey);	3	1	1												2	1	1	loadData can definitely be null. I don't see any other reasonable way to handle it than the way that patches B and C do. Patch A contains extraneous changes.	MK: I prefer 2 rather than 3 for patch A still, because patch A can be fixed by only deleting unnecessary changes. However, I'm willing to agree on 3 if MP feels strongly. MP: As A includes not just one, but multiple unrelated edits, I'd simply reject it as a code reviewer.	3	1	1	B and C mimick what's done in cancel() just above, which looks good. A adds functionality, but I doubt this it's intended.		consolidation
libgdx	175	hash_agent_baseline	hash_advanced	hash_basic	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression node is @Nullable	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/utils/ModelBuilder.java:157	node.parts.add(new NodePart(meshpart, material));	3	2	2												3	2	2	"IMO calling node() first is the right thing to do, but even patch C (which does this) contains an extraneous copy of a comment _and_ doesn't update the comment to indicate that this method will automatically create a node if there isn't one already. Patch B is also at least plausibly on the right track (throwing a new GdxException(""call node first"") is in line with how the need to call begin() is handled elsewhere), but IMO is a worse design. However, it's more consistent with the existing code in the class, and I could imagine an SDE going with either patch B or patch C's strategy. Patch A is clearly wrong - its error message indicates the wrong method, so it's strictly worse than patch B. Patch B also unnecessarily includes a check for model being null, which prevents it from scoring a 1."	MK: I don't think patch C should get a 1, because it definitely needs edits before being merged. I agree that I'd prefer C's strategy over B's, but what convinced me to give B a 2 is that it seems more consistent with the rest of the class. I can be convinced to change my score to a 3 for patch B, though. MP: Fully agree about C getting only a 2. You're right that B can be seen as consistent with the other locations that raise similar exceptions, so I'm okay with 2 for B.	3	3	1	A suggest calling begin(), which doesn't make sense, as begin() sets node to null. B also doesn't make sense, as it replaces a call of node() with an error saying you should call node(). C looks like the intended behavior: node() creates a new node, which can then be used.		consolidation
spring-boot	20	hash_advanced	hash_agent_baseline	hash_basic	Github	Github	Github	PASS_NULLABLE	passing @Nullable parameter 'this.applicationContext' where @NonNull is required	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/ConfigurationPropertiesBinder.java:237	\t\t\treturn new ConfigurationPropertiesBinder(this.applicationContext);	1	1	1												3	1	1	Beans! throwing an exception is right, this state shouldn't occur, but the control flow is nonobvious (through the framework) so it's unsurprising that the checker has a false positive.	MK: I can agree that Patch A is ok. However, I still actually prefer patches B and C, because they make it clear that it's abnormal behavior. I'm happy to agree on all 1s, though.	1	2	2	All three patches raise an exception if the value is null, which seems okay. A does so in the most elegant and concise way.		consolidation
libgdx	181	hash_basic	hash_advanced	hash_agent_baseline	Github	Github	Github	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	libgdx/gdx/src/com/badlogic/gdx/graphics/glutils/ETC1TextureData.java:107	data = null;	3	1	3												2	3	1	There's no reason to null out `data`, and doing so is an antipattern.	MK: my problem here is with the design of the class, so I suppose I should revise my ratings. I still think that nulling out fields for linearity is an antipattern (use a linearity type system instead!), but the remit of these tools is to annotate the code without fundamentally changing the design. With that in mind, patch B probably is the best one, since it handles the impact of making the field nullable without introducing new errors.	3	1	3	A and C simply remove the assignment, which is likely unintended. The 'data'  field should be annoated as nullable (as there's a null check at line 64). B adds this annotation and then tries to handle its effects.		consolidation
libgdx	100	hash_basic	hash_advanced	hash_agent_baseline	Github	Github	Github	FIELD_NO_INIT	@NonNull field indices not initialized	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/model/data/ModelMeshPart.java:22	public short[] indices;	1	3	3												1	3	3	This is a data record that's loaded from Json. The loaders (e.g., https://github.com/Pascal-Joos/libgdx/blob/4974c00d627a7dddfd845980967f82794b433c8a/gdx/src/com/badlogic/gdx/graphics/g3d/loader/G3dModelLoader.java) seem to be supposed to always initialize it to an empty array, even if there's nothing there. So, patch A is a perfectly reasonable defensive change (in case a loader is implemented incorrectly), but patches B and C's choices to make it nullable are incorrect.	MP: Why do you think making it nullable is incorrect? MK: I'm looking at e.g., https://github.com/Pascal-Joos/libgdx/blob/5f58c8d22a5793d57c3934c4abfb56fca3dbe327/gdx/src/com/badlogic/gdx/graphics/g3d/loader/G3dModelLoader.java#L117, which indicates that `indices` is a required field of this class when its been serialized. It's also dereferenced without null checks, e.g., at https://github.com/Pascal-Joos/libgdx/blob/5f58c8d22a5793d57c3934c4abfb56fca3dbe327/gdx/src/com/badlogic/gdx/graphics/g3d/Model.java#L236. MP: Okay, I see. Let's go with 1-3-3 then.	3	1	2	A initialized the field with a placeholder value, which seems wrong. B could be correct, but I'm not 100% sure whether all references of the field are handled (correctly). C appears to be missing some references of the field.		consolidation
libgdx	42	hash_basic	hash_agent_baseline	hash_advanced	Github	Github	Github	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/ParticleEmitter.java:751	return name;	2	1	1												2	1	1	"The issue concerns what to do about an uninitialized ""name"" variable (a string). There is a single place where it's used, to look up the class by name. Patches A and B solve the problem by making the name the empty string when it's uninitialized, though patch A is unnecessarily verbose. Patch C solves the problem by making the getter nullable and handling it at the call site. I'm okay with both approaches, and don't have a strong preference between them."	MP: I agree that C may also be considered correct.	2	1	3	Using a default, empty name seems reasonable. A and B do this; B does it more elegantly.		consolidation
zuul	19	hash_advanced	hash_basic	hash_agent_baseline	Github	Github	Github	UNBOX_NULLABLE	unboxing of a @Nullable value - originTimeout == null ? requestTimeout : originTimeout	zuul/zuul-core/src/main/java/com/netflix/zuul/netty/timeouts/OriginTimeoutManager.java:70	computedTimeout = originTimeout == null ? requestTimeout : originTimeout;	1	3	2												1	3	1	"This is definitely a false positive, since the ""both are null"" case is checked just above. Patch A solves the problem with a suppression, which is fine (the reason is obvious). Patch C splits the two cases, which is also obviously correct and is a reasonable rewrite. Patch B incorrectly tries to actually handle the null case."	MK: MP's point about C's verbosity is well-taken.	1	3	2	It's safe to cast to non-null because of the two if checks, which is what A does. B just invents some value. C is equivalent to A, but a bit lengthy.		consolidation
glide	36	hash_agent_baseline	hash_basic	hash_advanced	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression listPool is @Nullable	glide/library/src/main/java/com/bumptech/glide/load/engine/DecodePath.java:69	List<Throwable> exceptions = Preconditions.checkNotNull(listPool.acquire());	3	3	3					0	1	1					2	3	3	The correct thing to do is to null check both listPool and listPool.acquire(). All three patches are completely wrong in at least one way, and none of them are really salvagable, although if one is it's probably patch A? Patch A does null-check both, but then ruins it by completely messing up the release semantics. Patch B shouldn't even resolve the error; I'm not sure why it does (pascal.joos@outlook.de should double-check the experimental infra). Patch C switches the null check from listPool.acquire() to listPool, which is also not right. (It's important to check that listPool.acquire() is nonnull because the pool will return null if it is empty, which I don't see why would be guaranteed here.)	MK: I propose we give all 3s here.	3	3	2	B doesn't remove the warning. C might be what the developers had in mind, but the warning remains as NullAway doesn't understand the null check. A ensures safety, but removes the functionality implemented with Preconditions		consolidation
wala-util	31	hash_agent_baseline	hash_basic	hash_advanced	Github	Github	Github	UNBOX_NULLABLE	unboxing of a @Nullable value - i2	wala-util/src/main/java/com/ibm/wala/util/heapTrace/HeapTracer.java:596	return i2 - i1;	1	1	3												1	1	3	compare() implementation should work  regardless of implementation details (eg relying on things being in the sizeCount map), IMO. So, the null-safe patches A and B are correct, and the warning suppression (on just i2, which is inconsistent!) in patch C is wrong.	MK: I'm unwilling to give C better than a 2, because casting i2 but not i1 is obviously wrong. MP: Taking a second look, I agree.	2	2	1	Cast, as done by C, seems safe, assuming that registerObject() is called before calling compare(), which I understand to be the usage protocol. A and B will also give correct runtime behavior, but handle a case that should never occur.		consolidation
gson	19	hash_basic	hash_advanced	hash_agent_baseline	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression stackTop is @Nullable	gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:755	if (stackTop.parent != null) {	1	3	1												1	2	1	All three patches include the right fix, which is to check stackTop for null, too (it clearly can be - this.stack is nullable). Patch B includes a bunch of extraneous null checks in a nearby method.	MK: I'm willing to go to 3 on B, but I think it should be a two because it's a superset of the correct patch. MP: Let's give B a 3, as there are many unrelated changes. This also is consistent with glide-10	1	3	1	A and C are equivalent and look fine. B clutters the code with lots of (unnecessary, it seems) checks.		consolidation
gson	7	hash_agent_baseline	hash_basic	hash_advanced	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression created is @Nullable	gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:103	V result = created.value;	2	3	3												1	3	3	This is definitely a false positive, because calling create always returns nonnull when the second argument is true. So, handling the null is wrong; suppressing like patch A does is correct. Patch A makes a similar fix in a nearby file, but it appears to have the same semantics to me so as an engineer I'd be comfortable merging them together, so I'm not penalizing patch A for that.	MK: I'm willing to go to 2 on patch A, but not on the other two.	2	2	2	The true passed to find() ensures that created exists, i.e., safe to cast to non-null. All three patches give the right behavior, but A introduced another, unrelated change, while B and C handle a case that never occurs.		consolidation
litiengine	100	hash_basic	hash_advanced	hash_agent_baseline	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression this.getListEntry(column, row) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/gui/ListField.java:280	this.getListEntry(column, row)	2	3	1												1	2	1	There seems like there should be some kind of represenation invariant that makes the null-checking unnecessary, but the code isn't documented and is spagetti-like enough that I can't see one that's actually being enforced. All three patches try to defensively prevent the dereference in roughly the same way, but patch B makes some other unnecessary and incorrect semantic changes.	MK: Agree with MP	2	3	1	B goes beyond the specific error. A is correct, but adds unnecessary code. C looks best.		consolidation
glide	77	hash_basic	hash_advanced	hash_agent_baseline	Github	Github	Github	UNBOX_NULLABLE	unboxing of a @Nullable value - options.get(GifOptions.DISABLE_ANIMATION)	glide/library/src/main/java/com/bumptech/glide/load/resource/gif/StreamGifDecoder.java:41	return !options.get(GifOptions.DISABLE_ANIMATION)	3	1	3												3	1	3	This is a false postiive, so the suppression is correct. The boolean is defaulted to false in GifOptions.	MP: Agreed that this is a false positive, so adding code to handle it unncessary	2	1	2	Can probably be casted, as done by B. A and C are likely also correct, but adds several code lines just to handle a case that won't occur.		consolidation
glide	67	hash_agent_baseline	hash_basic	hash_advanced	Github	Github	Github	UNBOX_NULLABLE	unboxing of a @Nullable value - options.get(COMPRESSION_QUALITY)	glide/library/src/main/java/com/bumptech/glide/load/resource/bitmap/BitmapEncoder.java:75	int quality = options.get(COMPRESSION_QUALITY);	3	3	1												2	3	1	This is a false positive (the option is defaulted to 90 on line 41), so Patch C's suppression is best. Patches A and B unnecessarily add null checks, but Patch A defaults to 90 while Patch B incorrectly defaults to 100. Patch A is semantically equivalent but wasteful, which is why I gave it a 2 instead of a 3; patch B is wrong.	MP: Agreed. Similar to the above	2	2	1	Similar to glide-77.		consolidation
